GEOID20,C_TOT22,C_HSP22,C_NHS22,C_WHT22,C_BLA22,C_AMI22,C_ASI22,C_NHP22,C_2OM22,C_BLW22,C_AIW22,C_ASW22,C_AIB22,C_AIA22,C_ASN22,C_BLK22,CVAP_TOT22,CVAP_HSP22,CVAP_NHS22,CVAP_WHT22,CVAP_BLA22,CVAP_AMI22,CVAP_ASI22,CVAP_NHP22,CVAP_2OM22,CVAP_BLW22,CVAP_AIW22,CVAP_ASW22,CVAP_AIB22,CVAP_AIA22,CVAP_ASN22,CVAP_BLK22
011250117011008,119,0,120,0,121,0,0,0,0,2,0,0,0,0,0,124,81,0,81,0,79,0,0,0,0,4,0,0,0,0,0,83
011250104031029,97,1,103,3,131,0,0,0,0,0,0,0,0,0,0,125,60,1,63,4,84,0,0,0,0,0,0,0,0,0,0,80
011250127002000,538,19,524,318,197,0,0,0,0,0,0,0,0,0,2,193,356,16,338,269,81,0,0,0,0,0,0,0,0,0,0,80
011250124031038,101,0,104,5,84,0,0,0,0,0,0,0,0,0,0,81,91,0,93,5,83,0,0,0,0,0,0,0,0,0,0,80
011250108022016,99,0,105,18,111,0,0,0,0,0,0,0,3,1,0,113,64,0,65,10,75,0,0,0,0,0,0,0,3,1,0,78
011250105002013,134,0,143,14,130,0,0,0,0,0,0,0,1,0,0,128,98,0,102,15,78,0,0,0,0,0,0,0,1,0,0,78
011250125052000,206,0,207,123,87,0,0,0,0,0,1,0,0,1,0,86,161,1,162,88,74,0,0,0,0,0,1,0,0,1,0,78
011250124071015,92,0,95,2,104,0,0,0,0,0,0,0,0,0,0,104,69,0,71,2,76,0,0,0,0,0,0,0,0,0,0,77
011250104071005,772,65,712,510,109,0,47,0,0,0,0,0,0,0,48,108,672,72,610,474,77,0,41,0,0,0,0,0,0,0,42,76
011250118003012,153,0,158,0,159,0,0,0,0,0,0,0,0,0,0,161,69,0,72,0,78,0,0,0,0,0,0,0,0,0,0,76
011250102044020,109,0,108,66,64,0,0,0,0,0,0,0,0,0,0,60,115,0,112,66,78,0,0,0,0,0,0,0,0,0,0,75
011250127002009,150,4,149,15,153,0,0,0,0,0,0,0,0,0,0,157,106,5,100,14,74,0,0,0,0,0,0,0,0,0,0,75
011250123071014,117,3,113,11,86,0,0,0,0,0,0,0,0,0,1,85,113,3,108,9,76,0,0,0,0,0,0,0,0,0,1,75
011250121011009,225,4,221,121,112,0,0,0,0,0,3,0,0,3,0,113,191,0,201,127,72,0,0,0,0,0,3,0,0,3,0,74
011250117011009,104,0,104,0,108,0,0,0,0,0,0,0,0,0,0,108,72,0,72,0,74,0,0,0,0,0,0,0,0,0,0,74
011250123043012,150,0,151,18,104,0,0,0,0,0,0,0,0,0,0,109,107,0,106,17,68,0,0,0,0,0,0,0,0,0,0,73
011250106014048,330,0,341,250,80,0,0,0,0,1,1,0,0,1,0,78,273,0,277,197,73,0,0,0,0,0,1,0,0,1,0,73
011250117012015,87,0,90,0,84,0,0,0,0,0,0,0,0,0,0,83,78,0,81,0,74,0,0,0,0,0,0,0,0,0,0,73
011250125011068,106,0,106,20,86,0,0,0,0,0,0,0,0,0,0,85,88,0,88,15,73,0,0,0,0,1,0,0,0,0,0,73
011250108031006,152,2,153,0,143,0,0,0,0,0,0,0,0,0,0,142,82,2,79,0,72,0,0,0,0,0,0,0,0,0,0,73
011250117011020,124,0,123,0,124,0,0,0,0,2,0,0,0,0,0,126,73,0,72,0,70,0,0,0,0,2,0,0,0,0,0,72
011250124062015,95,0,93,1,107,0,0,0,0,0,0,0,0,0,0,106,66,0,64,1,72,0,0,0,0,0,0,0,0,0,0,72
011250103041031,341,10,316,149,175,0,0,0,0,0,0,0,0,0,0,174,212,5,205,133,72,0,0,0,0,0,0,0,0,0,0,72
011250117012020,115,0,118,6,107,0,0,0,0,0,0,0,0,0,0,106,77,1,79,0,71,0,0,0,0,0,0,0,0,0,0,71
011250118003000,119,0,123,0,117,0,0,0,0,0,0,0,0,0,0,122,69,0,72,0,69,0,0,0,0,0,0,0,0,0,0,71
011250123071000,214,5,208,110,105,0,5,0,0,0,0,0,0,0,3,107,176,2,172,111,69,0,5,0,0,0,0,0,0,0,4,70
011250107073001,202,3,199,133,71,0,0,0,0,0,0,0,0,0,0,67,177,3,174,114,71,0,0,0,0,0,0,0,0,0,0,70
011250119022021,124,1,123,5,122,0,0,0,0,0,0,0,0,0,0,121,72,0,73,5,70,0,0,0,0,0,0,0,0,0,0,70
011250117032010,80,0,81,0,77,0,0,0,0,0,0,0,0,0,0,79,71,0,72,0,70,0,0,0,0,0,0,0,0,0,0,70
011250126002010,268,0,277,203,72,0,0,0,0,0,0,0,0,0,0,70,233,0,240,167,71,0,0,0,0,0,0,0,0,0,0,69
011250125011081,120,0,121,33,83,0,0,0,0,0,0,0,0,0,0,83,103,0,103,30,69,0,0,0,0,1,0,0,0,0,0,69
011250117031010,110,0,109,0,97,0,0,0,0,6,0,0,0,0,0,101,79,0,77,0,69,0,0,0,0,0,0,0,0,0,0,69
011250117032021,95,0,96,4,89,0,0,0,0,0,0,0,0,0,0,92,73,0,74,4,69,0,0,0,0,0,0,0,0,0,0,69
011250117032011,73,0,74,0,73,0,0,0,0,0,0,0,0,0,0,75,67,0,68,0,68,0,0,0,0,0,0,0,0,0,0,69
011250119011001,61,0,64,16,66,0,0,0,0,0,0,0,0,0,0,65,63,0,64,17,70,0,0,0,0,0,0,0,0,0,0,69
011250117011019,81,0,81,0,78,0,0,0,0,2,0,0,0,0,0,80,70,0,70,0,69,0,0,0,0,0,0,0,0,0,0,68
011250125041008,186,0,182,71,104,0,0,0,0,0,4,0,0,6,0,106,137,0,135,61,68,0,0,0,0,0,4,0,0,6,0,68
011250107052032,140,0,142,53,72,1,0,0,0,0,2,0,0,6,0,73,122,0,123,45,67,1,0,0,0,0,0,0,0,1,0,67
011250125011099,84,0,84,0,88,0,0,0,0,0,0,0,0,0,0,89,62,0,62,0,66,0,0,0,0,1,0,0,0,0,0,67
011250123071019,123,0,125,36,81,0,0,0,0,0,1,0,0,1,0,80,117,0,119,37,68,0,0,0,0,0,1,0,0,1,0,67
011250124081006,133,0,132,12,104,0,0,0,0,0,0,0,0,0,0,104,82,0,80,7,65,0,0,0,0,0,0,0,0,0,0,65
011250128001017,85,0,88,0,94,0,0,0,0,0,0,0,0,0,0,94,58,0,60,0,63,0,0,0,0,0,0,0,0,0,0,65
011250123052046,53,1,52,0,75,0,0,0,0,0,0,0,0,0,0,73,46,1,45,0,66,0,0,0,0,0,0,0,0,0,0,65
011250108022020,105,1,106,39,77,0,0,0,0,0,0,0,0,0,0,77,80,2,78,26,66,0,0,0,0,0,0,0,0,0,0,64
011250107031071,228,0,239,173,57,0,0,0,0,0,1,0,0,1,0,63,182,0,189,128,64,0,0,0,0,0,1,0,0,1,0,65
011250124071023,63,0,64,1,71,0,0,0,0,0,0,0,0,0,0,71,57,0,58,1,64,0,0,0,0,0,0,0,0,0,0,64
011250117033009,78,0,79,2,76,0,0,0,0,0,0,0,0,0,0,75,67,0,67,2,64,0,0,0,0,0,0,0,0,0,0,63
011250125032012,82,0,83,24,68,0,0,0,0,0,0,0,0,0,0,67,65,0,65,15,63,0,0,0,0,0,0,0,0,0,0,63
